tweet,username,date,likes,retweets,url,cluster
"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/453WNH4sOo",beichenberger2,Mon Feb 22 17:45:55 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907887916077061,0.0
"@WilliamsRuto With due respect sir, you need to check the photos before you post them. It behoves on you as the Dep… https://t.co/jD0DXVLQBz",MsambwaYa,Mon Feb 22 17:45:55 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907887354048516,0.0
"Today, Feb. 22nd",sastenio,Mon Feb 22 17:45:54 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907886095749129,0.0
The US population is forced corrupt CIA-Mossad organized crime linked dynasties like the Clintons and McCains. John… https://t.co/AwjsdoNiqd,IranianAdvocate,Mon Feb 22 17:45:53 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907880391487488,0.0
This is how I’ll be sleeping till 21 th June .#lockdown #COVID19 #BoJo #Covid19UK https://t.co/jtT4wLlnEV,bauers97,Mon Feb 22 17:45:52 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907877237370883,1.0
Government said last year we stood next to the NHS during our fight against covid-19 now we have to fight for testi… https://t.co/HWclK68uWT,CargillJune,Mon Feb 22 17:45:52 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907876843122693,0.0
@naomirwolf @randomperson_FA Does anyone know if they are using WHO guidelines for PCR?,onlyrationalth1,Mon Feb 22 17:45:51 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907873470779392,0.0
"The latest report revealed that BC had 6,600 fewer active businesses operating as of last October compared with a y… https://t.co/Cz9Xq8ID3N",WorkBC_MRidge,Mon Feb 22 17:45:51 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907871298048001,0.0
All governments have to address this concern. Funfairs should be treated the same as Theme parks. Showpeople are re… https://t.co/nWyngtPqXm,RichardlyleSnp,Mon Feb 22 17:45:48 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907858434252803,0.0
My sister teacher Jss said her family got the vaccine shot &amp; the next day they had a fever &amp; ended up having Covid.,trxiave,Mon Feb 22 17:45:48 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907858551738370,1.0
Could the cure for COVID-19 lie at the bottom of the ocean? | Living https://t.co/KRjrg8tmCh,Mrkalman,Mon Feb 22 17:45:47 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907856517525505,0.0
"@jkahn63 @FoxNews And D's response is classic. If you don't like the way he rolls out the vaccine, go to another state &amp; deal.",TiffClina,Mon Feb 22 17:45:47 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907856047702022,2.0
"What does 500,000 deaths from COVID-19 in the U.S. look like? - National Geographic https://t.co/3EWcFEcsPk",dajami,Mon Feb 22 17:45:46 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907850507067393,0.0
Vaccine Connector / COVID-19 Updates and Information - State of Minnesota..please pass along to your patients… https://t.co/cKrn1VmFo6,SashaSkendzel,Mon Feb 22 17:45:45 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907848082780164,1.0
@ZubyMusic I wish they could do a vaccine against my sister,imonlyhuman83,Mon Feb 22 17:45:45 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907847994699782,1.0
Age-Friendly Community Grant Applications Now Open https://t.co/YINGzDmO7D @AARPCO @AarpcoMurphy  #COVIDー19 #vaccines,LongevityColo,Mon Feb 22 17:45:45 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907847193391105,0.0
"If you've been running during the pandemic or at least thinking about it, I hope you enjoy this piece https://t.co/mTKEoi2nBw",MichaelAldenFL,Mon Feb 22 17:45:45 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907847168401412,1.0
"@roxieharrison03 A year and some change. Been helping take care of my grandmother, during this pandemic. Haven't be… https://t.co/R5vnnqpFs7",NomadPastries,Mon Feb 22 17:45:45 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907844886659073,2.0
"And today would be my wedding day.

But no, theres a pandemic.

Needs some Fs.",MuttleyRacer,Mon Feb 22 17:45:44 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907842781151235,1.0
"@Wm_McKenna It seems to me, some people are trying to rush back since the vaccine announcement, but we are far off… https://t.co/yeZSNGqCjk",JoeWhatsHisName,Mon Feb 22 17:45:43 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907840373587973,1.0
Don't forget to check out our webinar tomorrow @COVID_E_N_D cc: @TO_dpr @RobbyNieuwlaat @GDCE_McMaster… https://t.co/ybPkXetZfi,ProulxLaurie,Mon Feb 22 17:45:43 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907836254781442,0.0
I don't think I wanted a government post before but this changes everything.,Calvin_Ash,Mon Feb 22 17:45:42 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907835591938052,1.0
Dr Fauci has been under a knife from the former guy until one month ago. This administration has had to start from… https://t.co/FZl3pfr2Lb,ericduda5,Mon Feb 22 17:45:42 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907835218771969,1.0
@POTUS @JoeBiden Revealed: Biden Shows Off His High-Tech Basement Lab Where He Invented The COVID Vaccine… https://t.co/YYNbaCzy1i,annastormz90,Mon Feb 22 17:45:42 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907834681958400,1.0
@FatEmperor everyone is saying its the vaccine but i think you are saying could be seasonality,eifers1,Mon Feb 22 17:45:42 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907833507573760,1.0
"Nicola Sturgeon refuses to commit to date for full school return in Scotland, via @janekbradley
https://t.co/tjuavYzKjM",TheScotsman,Mon Feb 22 17:45:41 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907828667269122,0.0
"@Wadjet_Trauben Thanks for enquiring🥰
Overseas sales are currently under preparation😭💦 It is scheduled to go on sal… https://t.co/6vUyXvFsjp",Ophelia_Dept,Mon Feb 22 17:45:40 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907825466896390,0.0
@DispatchAlerts You should be ashamed of yourself for putting stories about COVID vaccine availability in Ohio behi… https://t.co/oQcO4mRTQn,itsmommy,Mon Feb 22 17:45:39 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907822761746438,1.0
She is such a terrible person. @MeghanMcCain,Rizabellepow,Mon Feb 22 17:45:39 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907820270333952,1.0
We fcked up about 4 yrs ago,tbqfrank,Mon Feb 22 17:45:38 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907818051362817,0.0
"no, they haven’t ALL been vaccinated, plus everyone who hasn’t had the vaccine is still at risk 😬",rilxyyyyy,Mon Feb 22 17:45:38 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907817732796422,1.0
Outdoor Arts are essential to support cultural recovery and to bring communities back together following the trauma… https://t.co/klzzum28Pb,WWconsortium,Mon Feb 22 17:45:38 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907817246240776,0.0
"""School administrators must limit risky activities such as indoor sports, they added. 'It’s not going to be safe to… https://t.co/SiD6th7CtL",doooronronron,Mon Feb 22 17:45:38 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907816680005632,0.0
"Prime Minister @BorisJohnson today announces the Government's four step plan to exit lockdown. 

Stay with us as we… https://t.co/KUENcFb5Rj",Sparkandco_,Mon Feb 22 17:45:36 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907807985205254,1.0
tweet,username,date,likes,retweets,url,cluster
All governments have to address this concern. Funfairs should be treated the same as Theme parks. Showpeople are re… https://t.co/nWyngtPqXm,RichardlyleSnp,Mon Feb 22 17:45:48 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907858434252803,0.0
Could the cure for COVID-19 lie at the bottom of the ocean? | Living https://t.co/KRjrg8tmCh,Mrkalman,Mon Feb 22 17:45:47 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907856517525505,0.0
"The disease-resistant patients ( aka ""#outliers"", who are  unusually resilient or susceptible to disease) exposing… https://t.co/Pt5v3s2DR6",skepticafro,Mon Feb 22 17:45:41 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907831666249731,0.0
"Member News 📰🗞🏢    @GMWorkandSkills    @EnterprisingYou

Small business owners praise EnterprisingYou programme for… https://t.co/45fs6w4rr0",promanchester,Mon Feb 22 17:45:41 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907830852571141,0.0
@sci_questions Yeah it’s like there hasn’t been a pandemic and it’s still all the same people working on coronavirus,DrNeeltje,Mon Feb 22 17:45:29 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907780906651650,1.0
Anyone coming to the Excel tomorrow to get their vaccine ? I wanna pull up with gang,MARKSMANMALIK,Mon Feb 22 17:45:26 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907765140340737,1.0
@Ian04191967 @LBC @eddiemair As they continue to develop the vaccine it may well prevent transmission but for now i… https://t.co/z4k3Z4vDt3,DJB4ever,Mon Feb 22 17:45:14 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907714729078788,2.0
"Had a chronic patient with a shot left lung diagnosed with TB today.

Never been happier about a diagnosis -

- cuz… https://t.co/CsKUDl9DyP",SiR_GaMeZaLoT,Mon Feb 22 17:45:01 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907661759209472,0.0
@POTUS But Kamala and Biden said the vaccine was rushed and it’s not safe.  Why do you think millions are not getti… https://t.co/532jq6xm0I,James60380202,Mon Feb 22 17:44:58 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907650199633926,1.0
Strange picture choice. Not sure that'll make a difference at the Emptihad. Pandemic. No pandemic. It's always a se… https://t.co/kKZrR7foNB,indeliblethink1,Mon Feb 22 17:44:46 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907597720551429,0.0
Pandemic prevention and not torturing animals their entire existence seems a better alternative to eating wings off… https://t.co/wlJiVl7p1s,quo_vadis_83,Mon Feb 22 17:44:39 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907567961993220,0.0
@mooshakins @MeghanMcCain Vaccine eligibility is not ranked by higher scores per pound of body fat,Gordonkerr111,Mon Feb 22 17:44:31 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907536026361859,1.0
Evergreen opinion,signsofaging,Mon Feb 22 17:44:06 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907431730982915,0.0
Interview is a go for this morning! I think anyway. So excited to hopefully bring some light to a huge problem in W… https://t.co/0IY5MSHbDO,tia_erwin,Mon Feb 22 17:44:06 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907430954856449,1.0
"In some ways it is better. I don't think any of us expected and end to restrictions by June 21st.  

I'm one of tho… https://t.co/fIMLM6ZS6H",Eyecatcher_Pro,Mon Feb 22 17:44:01 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907411896066055,1.0
Covid-19 claims the life of Team #Italy #softball manager Enrico Obletter https://t.co/MJPUqhsbMj Forza #Italia… https://t.co/i5YVSnnGOW,ABLblogger,Mon Feb 22 17:43:58 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907397903781891,1.0
"3. We may want to give those &gt; 80yrs short interval:

""We caution against extending the dose schedule for the Pfize… https://t.co/GaVf3VZe2C",RogerGalligan,Mon Feb 22 17:43:43 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907333202587649,0.0
"@portlandmercury But,  how will we know if the vaccine works???

Will the survival rate go up to 99.998%??

https://t.co/87YeUp1Uv6",JohnnyAstro4,Mon Feb 22 17:43:33 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907292169576448,1.0
Don't they know who MeAgain is?! 😒,Sunny_Day2222,Mon Feb 22 17:43:32 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907290932383745,1.0
"Honey, that just means you are just like most of the rest of U.S.

Welcome to where we non-white privileged ones li… https://t.co/7mw3D6mSJf",Mearthe,Mon Feb 22 17:43:32 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907290802376706,0.0
"Nagpur Sees 710 COVID-19 Cases, 8 Deaths, 437 Recoveries https://t.co/J58tSOEGau",Ankush789,Mon Feb 22 17:43:22 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907245860286465,0.0
"Yes it will.lock down should be maintained at current  level until at least all Vaccination completed, 2 jabs per P… https://t.co/Dzgtr8MyG3",JohnHughes127,Mon Feb 22 17:43:21 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907243767443459,1.0
@POTUS But Kamal and Biden said the vaccine was rushed and it’s not safe.  Why do you think millions are not gettin… https://t.co/naT7XaJqDa,James60380202,Mon Feb 22 17:43:17 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907224402354178,1.0
Trigg County Hospital has received 400 Moderna COVID-19 vaccinations and will be distributing them beginning Tuesda… https://t.co/MxdLUl9C2a,StormyClaussen,Mon Feb 22 17:42:57 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907144018497542,1.0
